vg3	I(Vb1)
Step Information: Vbias=5m  (Step: 1/30)
-3.000000000000000e-01	-1.382651e-29
-2.700000000000000e-01	-6.858259e-18
-2.400000000000000e-01	-1.147447e-08
-2.100000000000000e-01	-3.186560e-16
-1.800000000000000e-01	-7.030445e-28
-1.500000000000000e-01	-1.250830e-33
-1.200000000000000e-01	-7.578047e-22
-9.000000000000002e-02	-1.456690e-10
-6.000000000000003e-02	-2.174298e-12
-3.000000000000003e-02	-7.012603e-24
-2.775557561562891e-17	-3.345086e-33
2.999999999999997e-02	-7.786582e-26
5.999999999999997e-02	-3.035652e-14
8.999999999999997e-02	-3.319309e-09
1.200000000000000e-01	-6.621068e-20
1.500000000000000e-01	-1.297052e-31
1.800000000000000e-01	-7.656707e-30
2.100000000000000e-01	-3.842895e-18
2.400000000000000e-01	-1.077911e-08
2.700000000000000e-01	-5.657364e-16
3.000000000000000e-01	-1.268067e-27
Step Information: Vbias=10m  (Step: 2/30)
-3.000000000000000e-01	-1.381005e-27
-2.700000000000000e-01	-6.351694e-16
-2.400000000000000e-01	-2.257378e-08
-2.100000000000000e-01	-2.029584e-12
-1.800000000000000e-01	-6.335692e-24
-1.500000000000000e-01	-1.360851e-31
-1.200000000000000e-01	-7.357640e-20
-9.000000000000002e-02	-3.545950e-09
-6.000000000000003e-02	-3.209232e-09
-3.000000000000003e-02	-6.057262e-20
-2.775557561562891e-17	-1.157029e-31
2.999999999999997e-02	-7.707216e-24
5.999999999999997e-02	-2.435813e-12
8.999999999999997e-02	-2.234253e-08
1.200000000000000e-01	-5.245195e-16
1.500000000000000e-01	-1.134319e-27
1.800000000000000e-01	-7.652161e-28
2.100000000000000e-01	-3.575828e-16
2.400000000000000e-01	-2.184853e-08
2.700000000000000e-01	-3.504028e-12
3.000000000000000e-01	-1.140443e-23
Step Information: Vbias=15m  (Step: 3/30)
-3.000000000000000e-01	-1.345547e-25
-2.700000000000000e-01	-5.307159e-14
-2.400000000000000e-01	-3.368833e-08
-2.100000000000000e-01	-2.959367e-09
-1.800000000000000e-01	-5.342394e-20
-1.500000000000000e-01	-1.318828e-29
-1.200000000000000e-01	-6.771169e-18
-9.000000000000002e-02	-1.520250e-08
-6.000000000000003e-02	-2.572504e-08
-3.000000000000003e-02	-4.636954e-16
-2.775557561562891e-17	-9.918747e-28
2.999999999999997e-02	-7.372479e-22
5.999999999999997e-02	-1.408670e-10
8.999999999999997e-02	-3.707648e-08
1.200000000000000e-01	-3.089932e-12
1.500000000000000e-01	-1.001868e-23
1.800000000000000e-01	-7.462524e-26
2.100000000000000e-01	-3.017683e-14
2.400000000000000e-01	-3.296256e-08
2.700000000000000e-01	-3.995212e-09
3.000000000000000e-01	-9.575624e-20
Step Information: Vbias=20m  (Step: 4/30)
-3.000000000000000e-01	-1.280251e-23
-2.700000000000000e-01	-3.827132e-12
-2.400000000000000e-01	-4.480141e-08
-2.100000000000000e-01	-2.704855e-08
-1.800000000000000e-01	-4.006293e-16
-1.500000000000000e-01	-2.122061e-27
-1.200000000000000e-01	-5.873927e-16
-9.000000000000002e-02	-2.802073e-08
-6.000000000000003e-02	-4.432282e-08
-3.000000000000003e-02	-2.665441e-12
-2.775557561562891e-17	-8.650589e-24
2.999999999999997e-02	-6.814417e-20
5.999999999999997e-02	-3.320816e-09
8.999999999999997e-02	-4.999934e-08
1.200000000000000e-01	-3.670575e-09
1.500000000000000e-01	-8.277342e-20
1.800000000000000e-01	-7.110578e-24
2.100000000000000e-01	-2.222926e-12
2.400000000000000e-01	-4.407563e-08
2.700000000000000e-01	-2.849901e-08
3.000000000000000e-01	-7.111342e-16
Step Information: Vbias=25m  (Step: 5/30)
-3.000000000000000e-01	-1.188240e-21
-2.700000000000000e-01	-2.012517e-10
-2.400000000000000e-01	-5.591370e-08
-2.100000000000000e-01	-4.837610e-08
-1.800000000000000e-01	-2.274120e-12
-1.500000000000000e-01	-7.506613e-24
-1.200000000000000e-01	-4.710650e-14
-9.000000000000002e-02	-4.021723e-08
-6.000000000000003e-02	-5.992690e-08
-3.000000000000003e-02	-3.344122e-09
-2.775557561562891e-17	-7.067005e-20
2.999999999999997e-02	-6.059949e-18
5.999999999999997e-02	-1.538849e-08
8.999999999999997e-02	-6.219750e-08
1.200000000000000e-01	-2.915641e-08
1.500000000000000e-01	-6.065048e-16
1.800000000000000e-01	-6.613168e-22
2.100000000000000e-01	-1.240898e-10
2.400000000000000e-01	-5.518793e-08
2.700000000000000e-01	-4.939219e-08
3.000000000000000e-01	-3.911632e-12
Step Information: Vbias=30m  (Step: 6/30)
-3.000000000000000e-01	-1.072278e-19
-2.700000000000000e-01	-4.091065e-09
-2.400000000000000e-01	-6.702560e-08
-2.100000000000000e-01	-6.629983e-08
-1.800000000000000e-01	-3.028851e-09
-1.500000000000000e-01	-5.985980e-20
-1.200000000000000e-01	-3.318209e-12
-9.000000000000002e-02	-5.205302e-08
-6.000000000000003e-02	-7.403332e-08
-3.000000000000003e-02	-2.934948e-08
-2.775557561562891e-17	-5.131859e-16
2.999999999999997e-02	-5.131859e-16
5.999999999999997e-02	-2.934948e-08
8.999999999999997e-02	-7.403332e-08
1.200000000000000e-01	-5.205302e-08
1.500000000000000e-01	-3.318209e-12
1.800000000000000e-01	-5.985980e-20
2.100000000000000e-01	-3.028851e-09
2.400000000000000e-01	-6.629983e-08
2.700000000000000e-01	-6.702560e-08
3.000000000000000e-01	-4.091065e-09
Step Information: Vbias=35m  (Step: 7/30)
-3.000000000000000e-01	-9.395740e-18
-2.700000000000000e-01	-1.696749e-08
-2.400000000000000e-01	-7.813728e-08
-2.100000000000000e-01	-8.227709e-08
-1.800000000000000e-01	-2.927727e-08
-1.500000000000000e-01	-4.319517e-16
-1.200000000000000e-01	-1.743556e-10
-9.000000000000002e-02	-6.368177e-08
-6.000000000000003e-02	-8.728393e-08
-3.000000000000003e-02	-5.374323e-08
-2.775557561562891e-17	-2.803581e-12
2.999999999999997e-02	-4.049566e-14
5.999999999999997e-02	-4.259759e-08
8.999999999999997e-02	-8.566207e-08
1.200000000000000e-01	-7.158372e-08
1.500000000000000e-01	-3.726561e-09
1.800000000000000e-01	-5.328685e-18
2.100000000000000e-01	-1.507015e-08
2.400000000000000e-01	-7.741151e-08
2.700000000000000e-01	-8.279550e-08
3.000000000000000e-01	-3.103849e-08
Step Information: Vbias=40m  (Step: 8/30)
-3.000000000000000e-01	-1.139494e-15
-2.700000000000000e-01	-3.146174e-08
-2.400000000000000e-01	-8.924881e-08
-2.100000000000000e-01	-9.703781e-08
-1.800000000000000e-01	-5.482682e-08
-1.500000000000000e-01	-2.362186e-12
-1.200000000000000e-01	-3.736050e-09
-9.000000000000002e-02	-7.518111e-08
-6.000000000000003e-02	-9.999967e-08
-3.000000000000003e-02	-7.481822e-08
-2.775557561562891e-17	-3.379732e-09
2.999999999999997e-02	-2.829924e-12
5.999999999999997e-02	-5.531330e-08
8.999999999999997e-02	-9.716141e-08
1.200000000000000e-01	-8.900953e-08
1.500000000000000e-01	-3.085995e-08
1.800000000000000e-01	-1.080802e-15
2.100000000000000e-01	-2.964873e-08
2.400000000000000e-01	-8.852304e-08
2.700000000000000e-01	-9.740070e-08
3.000000000000000e-01	-5.627837e-08
Step Information: Vbias=45m  (Step: 9/30)
-3.000000000000000e-01	-2.046417e-12
-2.700000000000000e-01	-4.528858e-08
-2.400000000000000e-01	-1.003603e-07
-2.100000000000000e-01	-1.109875e-07
-1.800000000000000e-01	-7.717033e-08
-1.500000000000000e-01	-3.052859e-09
-1.200000000000000e-01	-1.652329e-08
-9.000000000000002e-02	-8.659418e-08
-6.000000000000003e-02	-1.123588e-07
-3.000000000000003e-02	-9.367903e-08
-2.775557561562891e-17	-3.055766e-08
2.999999999999997e-02	-1.499253e-10
5.999999999999997e-02	-6.767246e-08
8.999999999999997e-02	-1.085745e-07
1.200000000000000e-01	-1.050321e-07
1.500000000000000e-01	-5.704520e-08
1.800000000000000e-01	-3.448094e-12
2.100000000000000e-01	-4.359512e-08
2.400000000000000e-01	-9.963448e-08
2.700000000000000e-01	-1.112294e-07
3.000000000000000e-01	-7.837995e-08
Step Information: Vbias=50m  (Step: 10/30)
-3.000000000000000e-01	-2.751180e-09
-2.700000000000000e-01	-5.857376e-08
-2.400000000000000e-01	-1.114716e-07
-2.100000000000000e-01	-1.243695e-07
-1.800000000000000e-01	-9.726736e-08
-1.500000000000000e-01	-3.016878e-08
-1.200000000000000e-01	-3.142781e-08
-9.000000000000002e-02	-9.794686e-08
-6.000000000000003e-02	-1.244684e-07
-3.000000000000003e-02	-1.109899e-07
-2.775557561562891e-17	-5.751140e-08
2.999999999999997e-02	-3.394611e-09
5.999999999999997e-02	-7.978201e-08
8.999999999999997e-02	-1.199272e-07
