Channel              :		CH1
Frequency            :		1.000KHz
Period               :		1.000ms
PK-PK                :		10.60V
Average              :		-334.9mV
Vertical pos         :		0.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		5.000000mV
Time interval        :		0.40000uS

index		CH1_Voltage(mV)
1		-5395.000000
2		-5395.000000
3		-5390.000000
4		-5410.000000
5		-5400.000000
6		-5395.000000
7		-5385.000000
8		-5395.000000
9		-5390.000000
10		-5390.000000
11		-5390.000000
12		-5380.000000
13		-5385.000000
14		-5395.000000
15		-5400.000000
16		-5400.000000
17		-5420.000000
18		-5390.000000
19		-5390.000000
20		-5370.000000
21		-5400.000000
22		-5385.000000
23		-5395.000000
24		-5385.000000
25		-5385.000000
26		-5375.000000
27		-5380.000000
28		-5380.000000
29		-5385.000000
30		-5375.000000
31		-5390.000000
32		-5405.000000
33		-5385.000000
34		-5395.000000
35		-5370.000000
36		-5385.000000
37		-5380.000000
38		-5370.000000
39		-5390.000000
40		-5380.000000
41		-5395.000000
42		-5410.000000
43		-5385.000000
44		-5385.000000
45		-5395.000000
46		-5375.000000
47		-5380.000000
48		-5395.000000
49		-5390.000000
50		-5405.000000
51		-5390.000000
52		-5390.000000
53		-5380.000000
54		-5390.000000
55		-5380.000000
56		-5390.000000
57		-5390.000000
58		-5400.000000
59		-5400.000000
60		-5360.000000
61		-5400.000000
62		-5380.000000
63		-5385.000000
64		-5395.000000
65		-5395.000000
66		-5400.000000
67		-5385.000000
68		-5375.000000
69		-5390.000000
70		-5390.000000
71		-5385.000000
72		-5395.000000
73		-5395.000000
74		-5395.000000
75		-5390.000000
76		-5385.000000
77		-5380.000000
78		-5385.000000
79		-5385.000000
80		-5385.000000
81		-5390.000000
82		-5385.000000
83		-5385.000000
84		-5390.000000
85		-5390.000000
86		-5390.000000
87		-5390.000000
88		-5380.000000
89		-5380.000000
90		-5385.000000
91		-5380.000000
92		-5400.000000
93		-5405.000000
94		-5390.000000
95		-5385.000000
96		-5410.000000
97		-5390.000000
98		-5380.000000
99		-5405.000000
100		-5380.000000
101		-5395.000000
102		-5395.000000
103		-5405.000000
104		-5385.000000
105		-5390.000000
106		-5395.000000
107		-5370.000000
108		-5395.000000
109		-5380.000000
110		-5370.000000
111		-5395.000000
112		-5400.000000
113		-5395.000000
114		-5390.000000
115		-5385.000000
116		-5390.000000
117		-5400.000000
118		-5380.000000
119		-5385.000000
120		-5395.000000
121		-5400.000000
122		-5390.000000
123		-5385.000000
124		-5395.000000
125		-5385.000000
126		-5400.000000
127		-5380.000000
128		-5385.000000
129		-5395.000000
130		-5385.000000
131		-5390.000000
132		-5400.000000
133		-5385.000000
134		-5400.000000
135		-5400.000000
136		-5400.000000
137		-5390.000000
138		-5390.000000
139		-5395.000000
140		-5400.000000
141		-5370.000000
142		-5380.000000
143		-5400.000000
144		-5405.000000
145		-5395.000000
146		-5405.000000
147		-5395.000000
148		-5380.000000
149		-5375.000000
150		-5395.000000
151		-5385.000000
152		-5410.000000
153		-5380.000000
154		-5395.000000
155		-5375.000000
156		-5390.000000
157		-5375.000000
158		-5395.000000
159		-5405.000000
160		-5400.000000
161		-5385.000000
162		-5380.000000
163		-5385.000000
164		-5400.000000
165		-5395.000000
166		-5385.000000
167		-5385.000000
168		-5390.000000
169		-5385.000000
170		-5380.000000
171		-5385.000000
172		-5370.000000
173		-5395.000000
174		-5405.000000
175		-5395.000000
176		-5390.000000
177		-5380.000000
178		-5390.000000
179		-5395.000000
180		-5390.000000
181		-5385.000000
182		-5385.000000
183		-5385.000000
184		-5355.000000
185		-5380.000000
186		-5390.000000
187		-5380.000000
188		-5395.000000
189		-5370.000000
190		-5380.000000
191		-5370.000000
192		-5360.000000
193		-5400.000000
194		-5395.000000
195		-5385.000000
196		-5390.000000
197		-5390.000000
198		-5365.000000
199		-5390.000000
200		-5395.000000
201		-5385.000000
202		-5370.000000
203		-5380.000000
204		-5385.000000
205		-5380.000000
206		-5375.000000
207		-5390.000000
208		-5385.000000
209		-5390.000000
210		-5365.000000
211		-5385.000000
212		-5375.000000
213		-5375.000000
214		-5380.000000
215		-5385.000000
216		-5375.000000
217		-5370.000000
218		-5395.000000
219		-5370.000000
220		-5360.000000
221		-5395.000000
222		-5385.000000
223		-5380.000000
224		-5395.000000
225		-5370.000000
226		-5390.000000
227		-5370.000000
228		-5370.000000
229		-5370.000000
230		-5390.000000
231		-5380.000000
232		-5365.000000
233		-5360.000000
234		-5395.000000
235		-5375.000000
236		-5380.000000
237		-5390.000000
238		-5400.000000
239		-5395.000000
240		-5375.000000
241		-5380.000000
242		-5385.000000
243		-5390.000000
244		-5380.000000
245		-5375.000000
246		-5370.000000
247		-5380.000000
248		-5370.000000
249		-5385.000000
250		-5385.000000
251		-5390.000000
