Fecha;Dem.Hoy;Dem.Ayer;Dem.SemanaAnt.;Dem.Prevista;Tem.Hoy;Tem.Ayer;Tem.SemanaAnt.;Tem.Prevista
"2023-06-05 00:00:00";15656;14808;16963;14714;10,7;17,2;7,3;""
"2023-06-05 00:05:00";15552;14699;16870;"";"";"";"";""
"2023-06-05 00:10:00";15454;14707;16528;"";"";"";"";""
"2023-06-05 00:15:00";15335;14638;16591;"";10,6;17,1;7,4;""
"2023-06-05 00:20:00";15303;14525;16465;"";"";"";"";""
"2023-06-05 00:25:00";15315;14457;16300;"";"";"";"";""
"2023-06-05 00:30:00";15213;14394;16156;"";10,6;17,2;7,6;""
"2023-06-05 00:35:00";15056;14413;16121;"";"";"";"";""
"2023-06-05 00:40:00";14848;14259;15876;"";"";"";"";""
"2023-06-05 00:45:00";14924;14164;15772;"";10,3;17,3;7,9;""
"2023-06-05 00:50:00";14802;14153;15651;"";"";"";"";""
"2023-06-05 00:55:00";14745;14074;15622;"";"";"";"";""
"2023-06-05 01:00:00";14530;14018;15601;14259;10,1;17;7,8;""
"2023-06-05 01:05:00";14500;13954;15467;"";"";"";"";""
"2023-06-05 01:10:00";14369;13898;15261;"";"";"";"";""
"2023-06-05 01:15:00";14420;13776;15304;"";9,6;16,9;8;""
"2023-06-05 01:20:00";14231;13840;15249;"";"";"";"";""
"2023-06-05 01:25:00";14204;13781;15063;"";"";"";"";""
"2023-06-05 01:30:00";14239;13812;15009;"";9,6;17;8;""
"2023-06-05 01:35:00";14172;13679;14918;"";"";"";"";""
"2023-06-05 01:40:00";14098;13564;14678;"";"";"";"";""
"2023-06-05 01:45:00";14094;13560;14699;"";9,5;17,2;8,2;""
"2023-06-05 01:50:00";13926;13563;14724;"";"";"";"";""
"2023-06-05 01:55:00";13951;13475;14684;"";"";"";"";""
"2023-06-05 02:00:00";13881;13454;14810;13516;9,3;17,1;7,9;""
"2023-06-05 02:05:00";13783;13415;14816;"";"";"";"";""
"2023-06-05 02:10:00";13728;13344;14772;"";"";"";"";""
"2023-06-05 02:15:00";13694;13413;14691;"";8,9;17,1;7,7;""
"2023-06-05 02:20:00";13603;13377;14417;"";"";"";"";""
"2023-06-05 02:25:00";13678;13438;14469;"";"";"";"";""
"2023-06-05 02:30:00";13574;13272;14584;"";8,7;17,1;7,8;""
"2023-06-05 02:35:00";13640;13228;14674;"";"";"";"";""
"2023-06-05 02:40:00";13637;13297;14480;"";"";"";"";""
"2023-06-05 02:45:00";13580;13263;14404;"";8,4;17,1;7,8;""
"2023-06-05 02:50:00";13597;13196;14341;"";"";"";"";""
"2023-06-05 02:55:00";13441;13080;14445;"";"";"";"";""
"2023-06-05 03:00:00";13400;13132;14450;13247;8,1;17,1;7,9;""
"2023-06-05 03:05:00";13445;13101;14425;"";"";"";"";""
"2023-06-05 03:10:00";13432;13042;14375;"";"";"";"";""
"2023-06-05 03:15:00";13567;13009;14313;"";8;16,9;8,2;""
"2023-06-05 03:20:00";13584;12987;14301;"";"";"";"";""
"2023-06-05 03:25:00";13614;12956;14379;"";"";"";"";""
"2023-06-05 03:30:00";13689;12816;14413;"";8,1;16,8;8,3;""
"2023-06-05 03:35:00";13697;12823;14267;"";"";"";"";""
"2023-06-05 03:40:00";13587;12792;14264;"";"";"";"";""
"2023-06-05 03:45:00";13489;12864;14157;"";8,1;16,7;8,6;""
"2023-06-05 03:50:00";13461;12844;14280;"";"";"";"";""
"2023-06-05 03:55:00";13504;12815;14224;"";"";"";"";""
"2023-06-05 04:00:00";13467;12781;14278;13265;7,9;16,4;8;""
"2023-06-05 04:05:00";13469;12798;14257;"";"";"";"";""
"2023-06-05 04:10:00";13529;12778;14190;"";"";"";"";""
"2023-06-05 04:15:00";13534;12760;14177;"";7,8;16,5;8;""
"2023-06-05 04:20:00";13618;12770;14284;"";"";"";"";""
"2023-06-05 04:25:00";13668;12614;14339;"";"";"";"";""
"2023-06-05 04:30:00";13701;12745;14336;"";7,6;16,4;7,8;""
"2023-06-05 04:35:00";13731;12737;14357;"";"";"";"";""
"2023-06-05 04:40:00";13603;12669;14295;"";"";"";"";""
"2023-06-05 04:45:00";13662;12807;14447;"";7,7;16,2;7,9;""
"2023-06-05 04:50:00";13578;12714;14331;"";"";"";"";""
"2023-06-05 04:55:00";13658;12732;14344;"";"";"";"";""
"2023-06-05 05:00:00";13705;12746;14476;13236;7,5;16,3;7,7;""
"2023-06-05 05:05:00";13898;12872;14553;"";"";"";"";""
"2023-06-05 05:10:00";13873;12846;14578;"";"";"";"";""
"2023-06-05 05:15:00";13886;12803;14572;"";7,2;16,2;7,7;""
"2023-06-05 05:20:00";13935;12827;14671;"";"";"";"";""
"2023-06-05 05:25:00";14075;12755;14697;"";"";"";"";""
"2023-06-05 05:30:00";14092;12742;14836;"";7,2;16,3;7,8;""
"2023-06-05 05:35:00";14176;12732;15060;"";"";"";"";""
"2023-06-05 05:40:00";14261;12811;15115;"";"";"";"";""
"2023-06-05 05:45:00";14171;12720;15036;"";7;16,4;7,8;""
"2023-06-05 05:50:00";14211;12671;15064;"";"";"";"";""
"2023-06-05 05:55:00";14361;12715;15195;"";"";"";"";""
"2023-06-05 06:00:00";14506;12729;15335;13950;7;16,4;7,5;""
"2023-06-05 06:05:00";14655;12727;15555;"";"";"";"";""
"2023-06-05 06:10:00";14860;12846;15712;"";"";"";"";""
"2023-06-05 06:15:00";14912;12719;15757;"";7;16,4;7,5;""
"2023-06-05 06:20:00";15128;12815;15738;"";"";"";"";""
"2023-06-05 06:25:00";15255;12869;15860;"";"";"";"";""
"2023-06-05 06:30:00";15313;12869;15991;"";7;16,4;7,1;""
"2023-06-05 06:35:00";15410;12886;16135;"";"";"";"";""
"2023-06-05 06:40:00";15653;12805;16348;"";"";"";"";""
"2023-06-05 06:45:00";15792;12867;16386;"";7,1;16,4;7,3;""
"2023-06-05 06:50:00";15947;12899;16599;"";"";"";"";""
"2023-06-05 06:55:00";16071;12894;16578;"";"";"";"";""
