Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		5.072V
Average              :		-32.51mV
Vertical pos         :		0.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		2.500000mV
Time interval        :		100.00000uS

index		CH1_Voltage(mV)
1		672.500000
2		672.500000
3		-190.000000
4		-425.000000
5		937.500000
6		-1977.500000
7		20.000000
8		1250.000000
9		2220.000000
10		-820.000000
11		340.000000
12		-1580.000000
13		337.500000
14		322.500000
15		-460.000000
16		-685.000000
17		535.000000
18		607.500000
19		-947.500000
20		707.500000
21		-292.500000
22		555.000000
23		-712.500000
24		530.000000
25		382.500000
26		465.000000
27		485.000000
28		762.500000
29		1260.000000
30		1047.500000
31		82.500000
32		-530.000000
33		1285.000000
34		-792.500000
35		-15.000000
36		-157.500000
37		-1090.000000
38		265.000000
39		-357.500000
40		1500.000000
41		412.500000
42		17.500000
43		520.000000
44		7.500000
45		-842.500000
46		-940.000000
47		-5.000000
48		1330.000000
49		797.500000
50		-497.500000
51		1167.500000
52		-1227.500000
53		-252.500000
54		1265.000000
55		-620.000000
56		-635.000000
57		1005.000000
58		260.000000
59		-485.000000
60		-307.500000
61		102.500000
62		-1030.000000
63		375.000000
64		-95.000000
65		-352.500000
66		1420.000000
67		382.500000
68		145.000000
69		-452.500000
70		470.000000
71		-1015.000000
72		-70.000000
73		-1192.500000
74		-122.500000
75		-655.000000
76		-817.500000
77		-700.000000
78		545.000000
79		-1042.500000
80		580.000000
81		90.000000
82		-52.500000
83		-387.500000
84		312.500000
85		1080.000000
86		-780.000000
87		-475.000000
88		-120.000000
89		-660.000000
90		132.500000
91		-292.500000
92		420.000000
93		1220.000000
94		375.000000
95		-827.500000
96		-1312.500000
97		202.500000
98		-45.000000
99		-560.000000
100		-377.500000
101		155.000000
102		-927.500000
103		72.500000
104		-1232.500000
105		1915.000000
106		620.000000
107		160.000000
108		-1510.000000
109		187.500000
110		437.500000
111		482.500000
112		-980.000000
113		1022.500000
114		-1067.500000
115		590.000000
116		-125.000000
117		-67.500000
118		-1382.500000
119		-762.500000
120		1165.000000
121		747.500000
122		307.500000
123		-337.500000
124		127.500000
125		877.500000
126		-510.000000
127		-782.500000
128		-132.500000
129		1380.000000
130		322.500000
131		-545.000000
132		275.000000
133		-152.500000
134		600.000000
135		-1500.000000
136		-525.000000
137		70.000000
138		1085.000000
139		-987.500000
140		-37.500000
141		-212.500000
142		47.500000
143		-382.500000
144		-295.000000
145		-365.000000
146		-372.500000
147		1172.500000
148		-607.500000
149		-837.500000
150		-387.500000
151		1135.000000
152		-992.500000
153		-475.000000
154		-1082.500000
155		-180.000000
156		-500.000000
157		-320.000000
158		605.000000
159		955.000000
160		-97.500000
161		852.500000
162		492.500000
163		-1390.000000
164		322.500000
165		855.000000
166		-642.500000
167		307.500000
168		50.000000
169		-232.500000
170		797.500000
171		-745.000000
172		140.000000
173		-82.500000
174		987.500000
175		567.500000
176		450.000000
177		255.000000
178		-1475.000000
179		-1800.000000
180		950.000000
181		-177.500000
182		-602.500000
183		-1360.000000
184		670.000000
185		-460.000000
186		870.000000
187		550.000000
188		1187.500000
189		-375.000000
190		575.000000
191		515.000000
192		240.000000
193		597.500000
194		277.500000
195		600.000000
196		367.500000
197		1212.500000
198		-300.000000
199		-982.500000
200		-1487.500000
201		332.500000
202		-100.000000
203		-912.500000
204		492.500000
205		-360.000000
206		920.000000
207		-422.500000
208		210.000000
209		1157.500000
210		165.000000
211		760.000000
212		-550.000000
213		125.000000
214		-470.000000
215		-812.500000
216		135.000000
217		292.500000
218		945.000000
219		-440.000000
220		-607.500000
221		-587.500000
222		172.500000
223		370.000000
224		687.500000
225		-730.000000
226		485.000000
227		-715.000000
228		77.500000
229		-577.500000
230		1065.000000
231		-65.000000
232		-72.500000
233		975.000000
234		392.500000
235		-1845.000000
236		202.500000
237		-122.500000
238		820.000000
239		-260.000000
240		-1695.000000
241		-687.500000
242		-325.000000
243		667.500000
244		372.500000
245		55.000000
246		-397.500000
247		-802.500000
248		-890.000000
249		-1085.000000
250		-1315.000000
251		-360.000000
252		-205.000000
253		-1225.000000
254		322.500000
255		422.500000
256		-207.500000
257		1137.500000
258		-130.000000
259		-1832.500000
260		-47.500000
261		785.000000
262		-100.000000
263		712.500000
264		1132.500000
265		-247.500000
266		-1000.000000
267		92.500000
268		302.500000
269		-1320.000000
270		-325.000000
271		732.500000
272		-1030.000000
273		752.500000
274		722.500000
275		-165.000000
276		-747.500000
277		-1715.000000
278		365.000000
279		1127.500000
280		-975.000000
281		-867.500000
282		-55.000000
283		-572.500000
284		1065.000000
285		-792.500000
286		-107.500000
287		-935.000000
288		-160.000000
289		1380.000000
290		-1267.500000
291		840.000000
292		-1410.000000
293		-250.000000
294		970.000000
295		-932.500000
296		1227.500000
297		92.500000
298		542.500000
299		-220.000000
300		-1335.000000
301		982.500000
302		1442.500000
303		512.500000
304		-25.000000
305		1127.500000
306		-192.500000
307		1292.500000
308		595.000000
309		270.000000
310		895.000000
311		-1205.000000
312		-1000.000000
313		-350.000000
314		657.500000
315		-445.000000
316		940.000000
317		192.500000
318		322.500000
319		1135.000000
320		-865.000000
321		92.500000
322		-495.000000
323		-255.000000
324		232.500000
325		-460.000000
326		-287.500000
327		-425.000000
328		-1037.500000
329		-235.000000
330		1357.500000
331		212.500000
332		-835.000000
333		340.000000
334		507.500000
335		-272.500000
336		1277.500000
337		-22.500000
338		455.000000
339		365.000000
340		-100.000000
341		-1317.500000
342		645.000000
343		367.500000
344		437.500000
345		-560.000000
346		107.500000
347		472.500000
348		-1035.000000
349		-455.000000
350		-32.500000
351		892.500000
352		-852.500000
353		-175.000000
354		322.500000
355		1047.500000
356		-1355.000000
357		130.000000
358		-390.000000
359		-557.500000
360		552.500000
361		-1432.500000
362		1015.000000
363		-282.500000
364		-1110.000000
365		1127.500000
366		445.000000
367		97.500000
368		-785.000000
369		-90.000000
370		-515.000000
371		-1022.500000
372		-487.500000
373		695.000000
374		-102.500000
375		52.500000
376		-387.500000
377		340.000000
378		340.000000
379		-322.500000
380		-1590.000000
381		400.000000
382		892.500000
383		-182.500000
384		2015.000000
385		1080.000000
386		1117.500000
387		345.000000
388		2057.500000
389		680.000000
390		1637.500000
391		685.000000
392		442.500000
393		-10.000000
394		497.500000
395		-322.500000
396		830.000000
397		1555.000000
398		1137.500000
399		-307.500000
400		-322.500000
401		-680.000000
402		-125.000000
403		-917.500000
404		420.000000
405		450.000000
406		1085.000000
407		-350.000000
408		-730.000000
409		-1207.500000
410		265.000000
411		462.500000
412		-55.000000
413		-1070.000000
414		-510.000000
415		400.000000
416		-230.000000
417		90.000000
418		415.000000
419		1205.000000
420		-312.500000
421		-1145.000000
422		1005.000000
423		-102.500000
424		487.500000
425		22.500000
426		-142.500000
427		222.500000
428		795.000000
429		-260.000000
430		-322.500000
431		-150.000000
432		-132.500000
433		-1435.000000
434		-607.500000
435		-440.000000
436		-207.500000
437		-180.000000
438		-1547.500000
439		-1232.500000
440		-1197.500000
441		870.000000
442		-422.500000
443		-242.500000
444		-80.000000
445		-647.500000
446		-27.500000
447		777.500000
448		-247.500000
449		-202.500000
450		-430.000000
451		-22.500000
452		780.000000
453		240.000000
454		1105.000000
455		765.000000
456		-950.000000
457		1000.000000
458		322.500000
459		-1252.500000
460		610.000000
461		-877.500000
462		20.000000
463		-127.500000
464		185.000000
465		-1537.500000
466		-967.500000
467		-280.000000
468		-117.500000
469		415.000000
470		-610.000000
471		35.000000
472		-170.000000
473		-85.000000
474		502.500000
475		-727.500000
476		-270.000000
477		-1375.000000
478		1337.500000
479		-267.500000
480		-37.500000
481		-1680.000000
482		-470.000000
483		80.000000
484		1097.500000
485		-722.500000
486		132.500000
487		472.500000
488		-1890.000000
489		655.000000
490		-180.000000
491		-860.000000
492		357.500000
493		327.500000
494		-122.500000
495		70.000000
496		-1320.000000
497		565.000000
498		-1902.500000
499		1127.500000
500		1092.500000
501		167.500000
502		-1180.000000
503		995.000000
504		-897.500000
505		-195.000000
506		1675.000000
507		330.000000
508		742.500000
509		1420.000000
510		-605.000000
511		-1240.000000
512		-707.500000
513		-272.500000
514		-765.000000
515		62.500000
516		-1190.000000
517		270.000000
518		1482.500000
519		167.500000
520		1082.500000
521		-845.000000
522		40.000000
523		1407.500000
524		85.000000
525		700.000000
526		-877.500000
527		-682.500000
528		-920.000000
529		-205.000000
530		865.000000
531		-565.000000
532		-637.500000
533		-55.000000
534		-392.500000
535		460.000000
536		-675.000000
537		-225.000000
538		-1100.000000
539		-580.000000
540		627.500000
541		-140.000000
542		-1102.500000
543		-472.500000
544		-32.500000
545		637.500000
546		-637.500000
547		485.000000
548		-200.000000
549		-632.500000
550		-40.000000
551		215.000000
552		-277.500000
553		202.500000
554		-55.000000
555		652.500000
556		190.000000
557		-42.500000
558		-905.000000
559		-22.500000
560		537.500000
561		370.000000
562		-532.500000
563		-167.500000
564		-1490.000000
565		982.500000
566		-510.000000
567		505.000000
568		-1322.500000
569		-505.000000
570		-105.000000
571		-890.000000
572		195.000000
573		1347.500000
574		335.000000
575		-270.000000
576		822.500000
577		1030.000000
578		-1087.500000
579		-997.500000
580		-530.000000
581		-1027.500000
582		-1467.500000
583		-932.500000
584		-940.000000
585		-795.000000
586		202.500000
587		-442.500000
