Channel              :,CH1
Frequency            :,6.859KHz
Period               :,0.146ms
PK-PK                :,2.757V
Average              :,2.012V
Vertical pos         :,0.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,2.500000mV
Time interval        :,0.04000uS

index,CH1_Voltage(mV)
1,2775.000000
2,2775.000000
3,2775.000000
4,2775.000000
5,2772.500000
6,2775.000000
7,2777.500000
8,2780.000000
9,2772.500000
10,2775.000000
11,2777.500000
12,2775.000000
13,2775.000000
14,2777.500000
15,2772.500000
16,2777.500000
17,2775.000000
18,2775.000000
19,2777.500000
20,2775.000000
21,2775.000000
22,2775.000000
23,2772.500000
24,2780.000000
25,2775.000000
26,2777.500000
27,2775.000000
28,2780.000000
29,2775.000000
30,2780.000000
31,2775.000000
32,2780.000000
33,2777.500000
34,2770.000000
35,2775.000000
36,2775.000000
37,2782.500000
38,2777.500000
39,2777.500000
40,2780.000000
41,2775.000000
42,2772.500000
43,2775.000000
44,2772.500000
45,2777.500000
46,2777.500000
47,2775.000000
48,2775.000000
49,2775.000000
50,2772.500000
51,2775.000000
52,2772.500000
53,2780.000000
54,2770.000000
55,2772.500000
56,2777.500000
57,2775.000000
58,2772.500000
59,2775.000000
60,2775.000000
61,2772.500000
62,2780.000000
63,2775.000000
64,2775.000000
65,2780.000000
66,2772.500000
67,2770.000000
68,2775.000000
69,2772.500000
70,2777.500000
71,2782.500000
72,2777.500000
73,2772.500000
74,2777.500000
75,2772.500000
76,2777.500000
77,2777.500000
78,2775.000000
79,2770.000000
80,2767.500000
81,2772.500000
82,2770.000000
83,2772.500000
84,2775.000000
85,2780.000000
86,2775.000000
87,2777.500000
88,2775.000000
89,2770.000000
90,2775.000000
91,2777.500000
92,2775.000000
93,2775.000000
94,2775.000000
95,2782.500000
96,2782.500000
97,2775.000000
98,2780.000000
99,2775.000000
100,2782.500000
101,2780.000000
102,2780.000000
103,2777.500000
104,2772.500000
105,2775.000000
106,2772.500000
107,2777.500000
108,2775.000000
109,2775.000000
110,2782.500000
111,2777.500000
112,2770.000000
113,2777.500000
114,2775.000000
115,2772.500000
116,2785.000000
117,2777.500000
118,2775.000000
119,2777.500000
120,2782.500000
121,2780.000000
122,2775.000000
123,2777.500000
124,2777.500000
125,2770.000000
126,2772.500000
127,2777.500000
128,2777.500000
129,2772.500000
130,2775.000000
131,2780.000000
132,2775.000000
133,2777.500000
134,2780.000000
135,2770.000000
136,2775.000000
137,2770.000000
138,2775.000000
139,2780.000000
140,2770.000000
141,2777.500000
142,2775.000000
143,2777.500000
144,2777.500000
145,2775.000000
146,2775.000000
147,2775.000000
148,2772.500000
149,2777.500000
150,2775.000000
151,2775.000000
152,2775.000000
153,2775.000000
154,2772.500000
155,2770.000000
156,2772.500000
157,2775.000000
158,2777.500000
159,2782.500000
160,2782.500000
161,2777.500000
162,2772.500000
163,2777.500000
164,2780.000000
165,2780.000000
166,2777.500000
167,2772.500000
168,2775.000000
169,2777.500000
170,2775.000000
171,2775.000000
172,2777.500000
173,2777.500000
174,2775.000000
175,2782.500000
176,2777.500000
177,2772.500000
178,2780.000000
179,2777.500000
180,2785.000000
181,2777.500000
182,2777.500000
183,2775.000000
184,2775.000000
185,2772.500000
186,2772.500000
187,2780.000000
188,2775.000000
189,2775.000000
190,2780.000000
191,2777.500000
192,2775.000000
193,2780.000000
194,2775.000000
195,2777.500000
196,2777.500000
197,2775.000000
198,2770.000000
199,2780.000000
200,2777.500000
201,2775.000000
202,2777.500000
203,2772.500000
204,2775.000000
205,2775.000000
206,2777.500000
207,2775.000000
208,2777.500000
209,2780.000000
210,2777.500000
211,2770.000000
212,2742.500000
213,2682.500000
214,2607.500000
215,2380.000000
216,1977.500000
217,1552.500000
218,1112.500000
219,612.500000
220,227.500000
221,112.500000
222,85.000000
223,82.500000
224,75.000000
225,67.500000
226,67.500000
227,67.500000
228,72.500000
229,67.500000
230,65.000000
231,60.000000
232,70.000000
233,65.000000
234,70.000000
235,65.000000
236,62.500000
237,72.500000
238,70.000000
239,70.000000
240,75.000000
241,75.000000
242,75.000000
243,75.000000
244,75.000000
245,77.500000
246,77.500000
247,80.000000
248,80.000000
249,82.500000
250,85.000000
251,82.500000
252,82.500000
253,90.000000
254,87.500000
255,87.500000
256,82.500000
257,85.000000
258,85.000000
259,92.500000
260,92.500000
261,92.500000
262,92.500000
263,87.500000
264,90.000000
265,95.000000
266,95.000000
267,92.500000
268,95.000000
269,95.000000
270,97.500000
271,92.500000
272,92.500000
273,97.500000
274,92.500000
275,95.000000
276,95.000000
277,100.000000
278,107.500000
279,97.500000
280,100.000000
281,100.000000
282,102.500000
283,105.000000
284,100.000000
285,105.000000
286,107.500000
287,102.500000
288,107.500000
289,100.000000
290,107.500000
291,100.000000
292,100.000000
293,107.500000
294,105.000000
295,102.500000
296,105.000000
297,110.000000
298,107.500000
299,107.500000
300,107.500000
301,107.500000
302,107.500000
303,107.500000
304,107.500000
305,110.000000
306,110.000000
307,107.500000
308,107.500000
309,105.000000
310,105.000000
311,107.500000
312,107.500000
313,102.500000
314,110.000000
315,105.000000
316,105.000000
317,102.500000
318,105.000000
319,112.500000
320,97.500000
321,110.000000
322,105.000000
323,105.000000
324,105.000000
325,112.500000
326,107.500000
327,107.500000
328,112.500000
329,107.500000
330,107.500000
331,115.000000
332,112.500000
333,107.500000
334,110.000000
335,110.000000
336,105.000000
337,105.000000
338,105.000000
339,107.500000
340,107.500000
341,110.000000
342,107.500000
343,105.000000
344,110.000000
345,102.500000
346,107.500000
347,107.500000
348,112.500000
349,105.000000
350,105.000000
351,102.500000
352,107.500000
353,112.500000
354,102.500000
355,110.000000
356,110.000000
357,107.500000
358,107.500000
359,110.000000
360,115.000000
361,110.000000
362,110.000000
363,110.000000
364,112.500000
365,110.000000
366,107.500000
367,110.000000
368,105.000000
369,107.500000
370,112.500000
371,112.500000
372,105.000000
373,112.500000
374,112.500000
375,112.500000
376,105.000000
377,105.000000
378,107.500000
379,110.000000
380,110.000000
381,107.500000
382,105.000000
383,110.000000
384,105.000000
385,107.500000
386,107.500000
387,107.500000
388,105.000000
389,105.000000
390,107.500000
391,107.500000
392,105.000000
393,105.000000
394,110.000000
395,107.500000
396,107.500000
397,105.000000
398,107.500000
399,102.500000
400,110.000000
401,107.500000
402,105.000000
403,110.000000
404,105.000000
405,110.000000
406,102.500000
407,107.500000
408,107.500000
409,107.500000
410,110.000000
411,105.000000
412,107.500000
413,102.500000
414,100.000000
415,102.500000
416,105.000000
417,105.000000
418,107.500000
419,105.000000
420,107.500000
421,105.000000
422,110.000000
423,112.500000
424,112.500000
425,110.000000
426,100.000000
427,105.000000
428,105.000000
429,102.500000
430,107.500000
431,110.000000
432,105.000000
433,107.500000
434,110.000000
435,107.500000
436,105.000000
437,105.000000
438,102.500000
439,105.000000
440,105.000000
441,107.500000
442,107.500000
443,100.000000
444,107.500000
445,107.500000
446,107.500000
447,107.500000
448,105.000000
449,105.000000
450,105.000000
451,110.000000
452,102.500000
453,105.000000
454,102.500000
455,105.000000
456,102.500000
457,105.000000
458,110.000000
459,110.000000
460,105.000000
461,110.000000
462,102.500000
463,107.500000
464,105.000000
465,105.000000
466,112.500000
467,110.000000
468,112.500000
469,102.500000
470,102.500000
471,105.000000
472,110.000000
473,110.000000
474,110.000000
475,105.000000
476,105.000000
477,107.500000
478,105.000000
479,105.000000
480,110.000000
481,105.000000
482,100.000000
483,107.500000
484,107.500000
485,102.500000
486,107.500000
487,100.000000
488,107.500000
489,105.000000
490,105.000000
491,107.500000
492,102.500000
493,102.500000
494,102.500000
495,102.500000
496,112.500000
497,110.000000
498,107.500000
499,102.500000
500,107.500000
501,102.500000
502,100.000000
503,105.000000
504,105.000000
505,97.500000
506,100.000000
507,107.500000
508,102.500000
509,105.000000
510,105.000000
511,110.000000
512,107.500000
513,107.500000
514,102.500000
515,100.000000
516,107.500000
517,105.000000
518,110.000000
519,107.500000
520,102.500000
521,102.500000
522,112.500000
523,100.000000
524,105.000000
525,105.000000
526,102.500000
527,102.500000
528,105.000000
529,100.000000
530,102.500000
531,102.500000
532,105.000000
533,100.000000
534,102.500000
535,105.000000
536,102.500000
537,105.000000
538,105.000000
539,105.000000
540,112.500000
541,115.000000
542,105.000000
543,105.000000
544,105.000000
545,105.000000
546,105.000000
547,100.000000
548,107.500000
549,105.000000
550,110.000000
551,107.500000
552,107.500000
553,102.500000
554,105.000000
555,107.500000
556,107.500000
557,105.000000
558,105.000000
559,107.500000
560,102.500000
561,102.500000
562,97.500000
563,110.000000
564,105.000000
565,105.000000
566,102.500000
567,102.500000
568,102.500000
569,107.500000
570,100.000000
571,105.000000
572,110.000000
573,105.000000
574,105.000000
575,102.500000
576,100.000000
577,105.000000
578,100.000000
579,105.000000
580,102.500000
581,102.500000
582,102.500000
583,107.500000
584,107.500000
585,110.000000
586,105.000000
587,110.000000
588,97.500000
589,102.500000
590,97.500000
591,107.500000
592,107.500000
593,110.000000
594,102.500000
595,97.500000
596,110.000000
597,110.000000
598,102.500000
599,105.000000
600,107.500000
601,107.500000
602,100.000000
603,105.000000
604,102.500000
605,105.000000
606,107.500000
607,100.000000
608,105.000000
609,100.000000
610,100.000000
611,102.500000
612,105.000000
613,110.000000
614,102.500000
615,105.000000
616,102.500000
617,105.000000
618,107.500000
619,107.500000
620,105.000000
621,107.500000
622,97.500000
623,105.000000
624,107.500000
625,102.500000
626,107.500000
627,102.500000
628,110.000000
629,107.500000
630,110.000000
631,105.000000
632,105.000000
633,97.500000
634,102.500000
635,105.000000
636,110.000000
637,107.500000
638,105.000000
639,105.000000
640,105.000000
641,107.500000
642,105.000000
643,97.500000
644,105.000000
645,110.000000
646,97.500000
647,107.500000
648,105.000000
649,100.000000
650,100.000000
651,105.000000
652,100.000000
653,102.500000
654,100.000000
655,102.500000
656,102.500000
657,102.500000
658,100.000000
659,102.500000
660,102.500000
661,100.000000
662,97.500000
663,105.000000
664,100.000000
665,105.000000
666,107.500000
667,110.000000
668,102.500000
669,105.000000
670,105.000000
671,112.500000
672,102.500000
673,107.500000
674,105.000000
675,102.500000
676,102.500000
677,105.000000
678,107.500000
679,97.500000
680,95.000000
681,107.500000
682,102.500000
683,105.000000
684,105.000000
685,105.000000
686,107.500000
687,105.000000
688,105.000000
689,102.500000
690,102.500000
691,105.000000
692,105.000000
693,97.500000
694,105.000000
695,100.000000
696,110.000000
697,107.500000
698,100.000000
699,107.500000
700,102.500000
701,97.500000
702,107.500000
703,100.000000
704,102.500000
705,107.500000
706,105.000000
707,115.000000
708,110.000000
709,105.000000
710,105.000000
711,102.500000
712,107.500000
713,102.500000
714,102.500000
715,105.000000
716,105.000000
717,105.000000
718,100.000000
719,107.500000
720,110.000000
721,107.500000
722,105.000000
723,107.500000
724,107.500000
725,107.500000
726,105.000000
727,102.500000
728,105.000000
729,102.500000
730,97.500000
731,110.000000
732,105.000000
733,102.500000
734,107.500000
735,102.500000
736,102.500000
737,107.500000
738,102.500000
739,100.000000
740,102.500000
741,102.500000
742,100.000000
743,102.500000
744,102.500000
745,102.500000
746,105.000000
747,102.500000
748,102.500000
749,102.500000
750,105.000000
751,107.500000
752,102.500000
753,105.000000
754,97.500000
755,102.500000
756,105.000000
757,105.000000
758,107.500000
759,102.500000
760,105.000000
761,105.000000
762,105.000000
763,107.500000
764,102.500000
765,110.000000
766,102.500000
767,102.500000
768,102.500000
769,107.500000
770,110.000000
771,105.000000
772,102.500000
773,105.000000
774,102.500000
775,97.500000
776,97.500000
777,100.000000
778,110.000000
779,102.500000
780,105.000000
781,105.000000
782,105.000000
783,105.000000
784,107.500000
785,107.500000
786,107.500000
787,102.500000
788,102.500000
789,100.000000
790,102.500000
791,105.000000
792,105.000000
793,105.000000
794,102.500000
795,105.000000
796,105.000000
797,107.500000
798,107.500000
799,102.500000
800,107.500000
801,107.500000
802,105.000000
803,100.000000
804,100.000000
805,110.000000
806,107.500000
807,107.500000
808,105.000000
809,105.000000
810,100.000000
811,105.000000
812,110.000000
813,107.500000
814,102.500000
815,105.000000
816,105.000000
817,107.500000
818,102.500000
819,105.000000
820,105.000000
821,105.000000
822,100.000000
823,105.000000
824,107.500000
825,107.500000
826,105.000000
827,107.500000
828,102.500000
829,105.000000
830,102.500000
831,105.000000
832,102.500000
833,110.000000
834,100.000000
835,102.500000
836,110.000000
837,105.000000
838,102.500000
839,100.000000
840,107.500000
841,102.500000
842,107.500000
843,107.500000
844,107.500000
845,105.000000
846,110.000000
847,105.000000
848,100.000000
849,107.500000
850,105.000000
851,112.500000
852,107.500000
853,105.000000
854,100.000000
855,107.500000
856,105.000000
857,102.500000
858,100.000000
859,102.500000
860,105.000000
861,100.000000
862,110.000000
863,105.000000
864,110.000000
865,105.000000
866,100.000000
867,105.000000
868,105.000000
869,102.500000
870,112.500000
871,110.000000
872,107.500000
873,105.000000
874,105.000000
875,102.500000
876,105.000000
877,102.500000
878,105.000000
879,100.000000
880,107.500000
881,105.000000
882,100.000000
883,105.000000
884,110.000000
885,105.000000
886,110.000000
887,105.000000
888,110.000000
889,110.000000
890,107.500000
891,110.000000
892,102.500000
893,107.500000
894,102.500000
895,102.500000
896,107.500000
897,105.000000
898,102.500000
899,107.500000
900,105.000000
901,105.000000
902,105.000000
903,107.500000
904,107.500000
905,102.500000
906,105.000000
907,105.000000
908,102.500000
