Channel              :,CH2
Frequency            :,18.59KHz
Period               :,53.800us
PK-PK                :,6.972V
Average              :,-23.14mV
Vertical pos         :,0.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,2.500000mV
Time interval        :,0.02000uS
,
index,CH2_Voltage(mV)
1,2580.000000
2,2580.000000
3,2582.500000
4,2590.000000
5,2592.500000
6,2600.000000
7,2597.500000
8,2607.500000
9,2615.000000
10,2617.500000
11,2615.000000
12,2630.000000
13,2630.000000
14,2632.500000
15,2635.000000
16,2645.000000
17,2652.500000
18,2650.000000
19,2652.500000
20,2665.000000
21,2670.000000
22,2670.000000
23,2675.000000
24,2682.500000
25,2692.500000
26,2695.000000
27,2695.000000
28,2697.500000
29,2700.000000
30,2710.000000
31,2702.500000
32,2707.500000
33,2715.000000
34,2730.000000
35,2722.500000
36,2725.000000
37,2737.500000
38,2737.500000
39,2747.500000
40,2740.000000
41,2750.000000
42,2752.500000
43,2752.500000
44,2752.500000
45,2765.000000
46,2765.000000
47,2770.000000
48,2780.000000
49,2772.500000
50,2780.000000
51,2780.000000
52,2782.500000
53,2792.500000
54,2795.000000
55,2800.000000
56,2802.500000
57,2807.500000
58,2812.500000
59,2820.000000
60,2817.500000
61,2825.000000
62,2822.500000
63,2830.000000
64,2827.500000
65,2832.500000
66,2835.000000
67,2835.000000
68,2842.500000
69,2842.500000
70,2842.500000
71,2850.000000
72,2855.000000
73,2860.000000
74,2857.500000
75,2870.000000
76,2870.000000
77,2877.500000
78,2870.000000
79,2872.500000
80,2880.000000
81,2882.500000
82,2880.000000
83,2882.500000
84,2885.000000
85,2895.000000
86,2892.500000
87,2900.000000
88,2900.000000
89,2900.000000
90,2905.000000
91,2910.000000
92,2907.500000
93,2915.000000
94,2915.000000
95,2922.500000
96,2922.500000
97,2920.000000
98,2925.000000
99,2930.000000
100,2930.000000
101,2935.000000
102,2935.000000
103,2940.000000
104,2940.000000
105,2945.000000
106,2942.500000
107,2947.500000
108,2952.500000
109,2950.000000
110,2955.000000
111,2955.000000
112,2962.500000
113,2965.000000
114,2965.000000
115,2965.000000
116,2967.500000
117,2975.000000
118,2977.500000
119,2972.500000
120,2980.000000
121,2980.000000
122,2980.000000
123,2987.500000
124,2995.000000
125,2992.500000
126,2990.000000
127,2995.000000
128,3000.000000
129,2992.500000
130,3002.500000
131,3000.000000
132,3005.000000
133,3015.000000
134,3012.500000
135,3010.000000
136,3012.500000
137,3015.000000
138,3020.000000
139,3020.000000
140,3022.500000
141,3025.000000
142,3025.000000
143,3032.500000
144,3030.000000
145,3037.500000
146,3037.500000
147,3035.000000
148,3040.000000
149,3040.000000
150,3045.000000
151,3045.000000
152,3050.000000
153,3047.500000
154,3050.000000
155,3052.500000
156,3050.000000
157,3060.000000
158,3057.500000
159,3060.000000
160,3065.000000
161,3067.500000
162,3062.500000
163,3067.500000
164,3072.500000
165,3072.500000
166,3070.000000
167,3075.000000
168,3077.500000
169,3080.000000
170,3082.500000
171,3082.500000
172,3080.000000
173,3085.000000
174,3087.500000
175,3092.500000
176,3100.000000
177,3095.000000
178,3100.000000
179,3105.000000
180,3100.000000
181,3102.500000
182,3107.500000
183,3110.000000
184,3107.500000
185,3110.000000
186,3112.500000
187,3115.000000
188,3120.000000
189,3117.500000
190,3127.500000
191,3120.000000
192,3120.000000
193,3125.000000
194,3132.500000
195,3125.000000
196,3130.000000
197,3130.000000
198,3135.000000
199,3140.000000
200,3140.000000
201,3145.000000
202,3142.500000
203,3150.000000
204,3147.500000
205,3145.000000
206,3145.000000
207,3147.500000
208,3150.000000
209,3155.000000
210,3150.000000
211,3157.500000
212,3160.000000
213,3157.500000
214,3165.000000
215,3167.500000
216,3167.500000
217,3167.500000
218,3167.500000
219,3177.500000
220,3172.500000
221,3175.000000
222,3172.500000
223,3177.500000
224,3185.000000
225,3190.000000
226,3180.000000
227,3187.500000
228,3182.500000
229,3190.000000
230,3192.500000
231,3190.000000
232,3190.000000
233,3202.500000
234,3192.500000
235,3200.000000
236,3200.000000
237,3202.500000
238,3207.500000
239,3210.000000
240,3205.000000
241,3210.000000
242,3215.000000
243,3212.500000
244,3210.000000
245,3220.000000
246,3222.500000
247,3222.500000
248,3215.000000
249,3230.000000
250,3222.500000
251,3227.500000
252,3225.000000
253,3225.000000
254,3232.500000
255,3232.500000
256,3232.500000
257,3237.500000
258,3240.000000
259,3242.500000
260,3245.000000
261,3242.500000
262,3245.000000
263,3245.000000
264,3247.500000
265,3250.000000
266,3257.500000
267,3255.000000
268,3252.500000
269,3250.000000
270,3260.000000
271,3262.500000
272,3262.500000
273,3262.500000
274,3265.000000
275,3265.000000
276,3265.000000
277,3277.500000
278,3277.500000
279,3272.500000
280,3277.500000
281,3282.500000
282,3280.000000
283,3280.000000
284,3280.000000
285,3287.500000
286,3287.500000
287,3287.500000
288,3292.500000
289,3290.000000
290,3285.000000
291,3292.500000
292,3300.000000
293,3297.500000
294,3300.000000
295,3300.000000
296,3300.000000
297,3302.500000
298,3305.000000
299,3310.000000
300,3307.500000
301,3315.000000
302,3310.000000
303,3315.000000
304,3317.500000
305,3322.500000
306,3315.000000
307,3320.000000
308,3320.000000
309,3325.000000
310,3322.500000
311,3325.000000
312,3327.500000
313,3330.000000
314,3322.500000
315,3335.000000
316,3330.000000
317,3332.500000
318,3337.500000
319,3335.000000
320,3330.000000
321,3322.500000
322,3317.500000
323,3312.500000
324,3317.500000
325,3317.500000
326,3322.500000
327,3322.500000
328,3322.500000
329,3335.000000
330,3327.500000
331,3335.000000
332,3340.000000
333,3340.000000
334,3342.500000
335,3345.000000
336,3345.000000
337,3352.500000
338,3347.500000
339,3350.000000
340,3350.000000
341,3360.000000
342,3352.500000
343,3347.500000
344,3352.500000
345,3345.000000
346,3340.000000
347,3335.000000
348,3335.000000
349,3342.500000
350,3337.500000
351,3337.500000
352,3332.500000
353,3332.500000
354,3330.000000
355,3325.000000
356,3322.500000
357,3325.000000
358,3312.500000
359,3310.000000
360,3310.000000
361,3305.000000
362,3302.500000
363,3297.500000
364,3290.000000
365,3295.000000
366,3292.500000
367,3287.500000
368,3285.000000
369,3280.000000
370,3277.500000
371,3277.500000
372,3270.000000
373,3270.000000
374,3262.500000
375,3265.000000
376,3257.500000
377,3255.000000
378,3260.000000
379,3255.000000
380,3250.000000
381,3247.500000
382,3252.500000
383,3242.500000
384,3237.500000
385,3240.000000
386,3232.500000
387,3227.500000
388,3230.000000
389,3232.500000
390,3230.000000
391,3227.500000
392,3220.000000
393,3220.000000
394,3222.500000
395,3215.000000
396,3215.000000
397,3217.500000
