Channel              :,CH2
Frequency            :,1.927Hz
Period               :,0.519s
PK-PK                :,6.820V
Average              :,-329.1mV
Vertical pos         :,0.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,5.000000mV
Time interval        :,100.00000uS
,
index,CH2_Voltage(mV)
1,900.000000
2,900.000000
3,905.000000
4,885.000000
5,880.000000
6,890.000000
7,885.000000
8,880.000000
9,865.000000
10,870.000000
11,870.000000
12,870.000000
13,860.000000
14,855.000000
15,845.000000
16,835.000000
17,840.000000
18,835.000000
19,840.000000
20,815.000000
21,835.000000
22,810.000000
23,815.000000
24,810.000000
25,815.000000
26,800.000000
27,795.000000
28,795.000000
29,800.000000
30,785.000000
31,780.000000
32,785.000000
33,775.000000
34,775.000000
35,780.000000
36,780.000000
37,760.000000
38,760.000000
39,740.000000
40,750.000000
41,750.000000
42,745.000000
43,755.000000
44,740.000000
45,735.000000
46,720.000000
47,730.000000
48,735.000000
49,710.000000
50,705.000000
51,695.000000
52,695.000000
53,700.000000
54,695.000000
55,685.000000
56,670.000000
57,690.000000
58,690.000000
59,675.000000
60,665.000000
61,655.000000
62,655.000000
63,635.000000
64,670.000000
65,645.000000
66,650.000000
67,640.000000
68,625.000000
69,620.000000
70,635.000000
71,630.000000
72,630.000000
73,620.000000
74,615.000000
75,610.000000
76,605.000000
77,585.000000
78,590.000000
79,585.000000
80,590.000000
81,580.000000
82,565.000000
83,555.000000
84,575.000000
85,570.000000
86,575.000000
87,555.000000
88,560.000000
89,545.000000
90,540.000000
91,545.000000
92,550.000000
93,535.000000
94,525.000000
95,525.000000
96,520.000000
97,515.000000
98,520.000000
99,515.000000
100,520.000000
101,485.000000
102,495.000000
103,505.000000
104,490.000000
105,485.000000
106,490.000000
107,455.000000
108,490.000000
109,460.000000
110,470.000000
111,470.000000
112,455.000000
113,445.000000
114,445.000000
115,455.000000
116,445.000000
117,420.000000
118,430.000000
119,425.000000
120,400.000000
121,425.000000
122,415.000000
123,385.000000
124,405.000000
125,395.000000
126,380.000000
127,375.000000
128,400.000000
129,365.000000
130,400.000000
131,370.000000
132,360.000000
133,355.000000
134,355.000000
135,340.000000
136,335.000000
137,340.000000
138,335.000000
139,335.000000
140,325.000000
141,335.000000
142,325.000000
