,CH1(Unit:V)
Frecuencia:,999,999 Hz
Periódico:,1,000 mS
Valor pico a pico:,10,2V
1,0,560
2,0,720
3,0,480
4,0,560
5,0,320
6,0,480
7,0,240
8,0,320
9,0,080
10,0,240
11,-0,080
12,0,080
13,-0,160
14,-0,080
15,-0,320
16,-0,160
17,-0,400
18,-0,320
19,-0,560
20,-0,400
21,-0,640
22,-0,560
23,-0,800
24,-0,720
25,-0,960
26,-0,800
27,-1,040
28,-0,960
29,-1,200
30,-1,040
31,-1,280
32,-1,200
33,-1,440
34,-1,280
35,-1,600
36,-1,440
37,-1,680
38,-1,600
39,-1,760
40,-1,680
41,-1,920
42,-1,760
43,-2,000
44,-1,920
45,-2,160
46,-2,000
47,-2,240
48,-2,160
49,-2,400
50,-2,240
51,-2,480
52,-2,400
53,-2,560
54,-2,480
55,-2,720
56,-2,560
57,-2,800
58,-2,720
59,-2,880
60,-2,800
61,-3,040
62,-2,960
63,-3,120
64,-3,040
65,-3,200
66,-3,120
67,-3,280
68,-3,200
69,-3,440
70,-3,280
71,-3,520
72,-3,440
73,-3,600
74,-3,520
75,-3,680
76,-3,600
77,-3,760
78,-3,680
79,-3,840
80,-3,760
81,-3,920
82,-3,840
83,-4,000
84,-3,920
85,-4,080
86,-4,000
87,-4,160
88,-4,080
89,-4,240
90,-4,160
91,-4,320
92,-4,240
93,-4,400
94,-4,320
95,-4,480
96,-4,400
97,-4,480
98,-4,400
99,-4,560
100,-4,480
101,-4,640
102,-4,560
103,-4,720
104,-4,640
105,-4,720
106,-4,640
107,-4,800
108,-4,720
109,-4,800
110,-4,800
111,-4,880
112,-4,800
113,-4,880
114,-4,880
115,-4,960
116,-4,880
117,-4,960
118,-4,960
119,-4,960
120,-4,960
121,-5,040
122,-4,960
123,-5,040
124,-5,040
125,-5,040
126,-5,040
127,-5,040
128,-5,040
129,-5,120
130,-5,040
131,-5,120
132,-5,040
133,-5,120
134,-5,120
135,-5,120
136,-5,120
137,-5,120
138,-5,120
139,-5,120
140,-5,120
141,-5,120
142,-5,120
143,-5,120
144,-5,040
145,-5,120
146,-5,040
147,-5,120
148,-5,040
149,-5,040
150,-5,040
151,-5,040
152,-5,040
153,-5,040
154,-4,960
155,-4,960
156,-4,960
157,-4,960
158,-4,960
159,-4,960
160,-4,880
161,-4,880
162,-4,880
163,-4,880
164,-4,800
165,-4,800
166,-4,800
167,-4,800
168,-4,720
169,-4,720
170,-4,720
171,-4,720
172,-4,640
173,-4,640
174,-4,560
175,-4,560
176,-4,480
177,-4,480
178,-4,480
179,-4,480
180,-4,400
181,-4,400
182,-4,320
183,-4,320
184,-4,240
185,-4,240
186,-4,160
187,-4,160
188,-4,080
189,-4,080
190,-4,000
191,-4,000
192,-3,920
193,-3,920
194,-3,840
195,-3,840
196,-3,760
197,-3,760
198,-3,680
199,-3,680
200,-3,600
201,-3,600
202,-3,520
203,-3,520
204,-3,440
205,-3,440
206,-3,280
207,-3,280
208,-3,200
209,-3,200
210,-3,120
211,-3,120
212,-3,040
213,-3,040
214,-2,880
215,-2,880
216,-2,800
217,-2,800
218,-2,720
219,-2,720
220,-2,640
221,-2,560
222,-2,480
223,-2,480
224,-2,400
225,-2,320
226,-2,240
227,-2,240
228,-2,160
229,-2,160
230,-2,080
231,-2,000
232,-1,920
233,-1,920
234,-1,760
235,-1,760
236,-1,680
237,-1,680
238,-1,520
239,-1,600
240,-1,440
241,-1,440
242,-1,280
243,-1,280
244,-1,200
245,-1,200
246,-1,040
247,-1,040
248,-0,960
249,-0,880
250,-0,800
251,-0,800
252,-0,720
253,-0,640
254,-0,560
255,-0,560
256,-0,400
257,-0,400
258,-0,320
259,-0,320
260,-0,160
261,-0,160
262,0,000
263,0,000
264,0,080
265,0,080
266,0,240
267,0,240
268,0,320
269,0,320
270,0,480
271,0,480
272,0,560
273,0,560
274,0,720
275,0,720
276,0,800
277,0,800
278,0,960
279,0,960
280,1,120
281,1,040
282,1,200
283,1,200
284,1,360
285,1,360
286,1,440
287,1,440
288,1,600
289,1,600
290,1,680
291,1,680
292,1,840
293,1,840
294,1,920
295,1,920
296,2,080
297,2,080
298,2,160
299,2,160
300,2,320
301,2,320
302,2,400
303,2,400
304,2,480
305,2,480
306,2,640
307,2,640
308,2,720
309,2,720
310,2,800
311,2,800
312,2,880
313,2,960
314,3,040
315,3,040
316,3,120
317,3,120
318,3,200
319,3,200
320,3,280
321,3,360
322,3,440
323,3,440
324,3,520
325,3,520
326,3,600
327,3,600
328,3,680
329,3,680
330,3,760
331,3,760
332,3,840
333,3,840
334,3,920
335,3,920
336,4,000
337,4,000
338,4,080
339,4,080
340,4,160
341,4,160
342,4,240
343,4,240
344,4,320
345,4,320
346,4,320
347,4,400
348,4,400
349,4,400
350,4,480
351,4,480
352,4,560
353,4,560
354,4,560
355,4,560
356,4,640
357,4,640
358,4,720
359,4,720
360,4,720
361,4,720
362,4,800
363,4,800
364,4,800
365,4,800
366,4,880
367,4,800
368,4,880
369,4,880
370,4,880
371,4,880
372,4,960
373,4,960
374,4,960
375,4,960
376,4,960
377,4,960
378,5,040
379,4,960
380,5,040
381,4,960
382,5,040
383,5,040
384,5,040
385,5,040
386,5,040
387,4,960
388,5,040
389,5,040
390,5,040
391,4,960
392,5,040
393,4,960
394,5,040
395,4,960
396,5,040
397,4,960
398,4,960
399,4,960
400,4,960
401,4,880
402,4,960
403,4,880
404,4,960
405,4,880
406,4,880
407,4,880
408,4,880
409,4,800
410,4,880
411,4,800
412,4,800
413,4,720
414,4,800
415,4,720
416,4,720
417,4,640
418,4,720
419,4,560
420,4,640
421,4,560
422,4,560
423,4,480
424,4,560
425,4,400
426,4,480
427,4,400
428,4,400
429,4,320
430,4,400
431,4,240
432,4,320
433,4,160
434,4,240
435,4,080
436,4,160
437,4,000
438,4,080
439,3,920
440,4,000
441,3,840
442,3,920
443,3,760
444,3,840
445,3,680
446,3,760
447,3,600
448,3,680
449,3,520
450,3,600
451,3,440
452,3,520
453,3,360
454,3,440
455,3,200
456,3,360
457,3,120
458,3,200
459,3,040
460,3,120
461,2,960
462,3,040
463,2,880
464,2,960
465,2,720
466,2,800
467,2,640
468,2,720
469,2,480
470,2,560
471,2,400
472,2,480
473,2,320
474,2,400
475,2,160
476,2,240
477,2,080
478,2,160
479,1,920
480,2,080
481,1,840
482,1,920
483,1,760
484,1,840
485,1,600
486,1,680
487,1,440
488,1,600
489,1,360
490,1,440
491,1,200
492,1,280
493,1,120
494,1,200
495,0,960
496,1,120
497,0,800
498,0,960
499,0,720
500,0,800
501,0,560
502,0,720
503,0,480
504,0,560
505,0,320
506,0,480
507,0,240
508,0,320
509,0,080
510,0,240
511,-0,080
512,0,080
513,-0,160
514,-0,080
515,-0,320
516,-0,160
517,-0,400
518,-0,320
519,-0,560
520,-0,400
521,-0,640
522,-0,560
523,-0,800
524,-0,640
525,-0,960
526,-0,800
527,-1,040
528,-0,960
529,-1,200
530,-1,040
531,-1,280
532,-1,200
533,-1,440
534,-1,280
535,-1,520
536,-1,440
537,-1,680
538,-1,520
539,-1,760
540,-1,680
541,-1,920
542,-1,760
543,-2,000
544,-1,920
545,-2,160
546,-2,000
547,-2,240
548,-2,160
549,-2,400
550,-2,240
551,-2,480
552,-2,400
553,-2,640
554,-2,480
555,-2,720
556,-2,560
